time,seconds_elapsed,z,y,x
1772708543913351700,0.0463515625,-0.8430633544921875,-0.500091552734375,0.0398101806640625
1772708543923377700,0.056377685546875,-0.85626220703125,-0.5084075927734375,0.035430908203125
1772708543933403600,0.066403564453125,-0.8625946044921875,-0.5095672607421875,0.033203125
1772708543943428900,0.076428955078125,-0.862701416015625,-0.504486083984375,0.032257080078125
1772708543953454800,0.086454833984375,-0.8522491455078125,-0.4976348876953125,0.0267791748046875
1772708543963480800,0.096480712890625,-0.83758544921875,-0.4975433349609375,0.0132904052734375
1772708543973505800,0.106505859375,-0.828857421875,-0.5036163330078125,0.006439208984375
1772708543983531800,0.11653173828125,-0.8214111328125,-0.4998779296875,0.010284423828125
1772708543993556700,0.126556640625,-0.813323974609375,-0.498443603515625,0.0145721435546875
1772708544003582700,0.136582763671875,-0.8211212158203125,-0.5027313232421875,0.0204620361328125
1772708544013609000,0.14660888671875,-0.8341064453125,-0.5044708251953125,0.0231781005859375
1772708544023633700,0.156633544921875,-0.8372039794921875,-0.507598876953125,0.0225830078125
1772708544033660000,0.166659912109375,-0.833770751953125,-0.512603759765625,0.01885986328125
1772708544043686000,0.176685791015625,-0.8216705322265625,-0.5185699462890625,0.0184783935546875
1772708544053710800,0.1867109375,-0.80963134765625,-0.52728271484375,0.0204315185546875
1772708544063736800,0.19673681640625,-0.811065673828125,-0.5323028564453125,0.0306396484375
1772708544073762000,0.206761962890625,-0.82354736328125,-0.527984619140625,0.0364990234375
1772708544083788000,0.2167880859375,-0.8592529296875,-0.520111083984375,0.0333251953125
1772708544093814000,0.22681396484375,-0.8832244873046875,-0.506103515625,0.031494140625
1772708544103839000,0.2368388671875,-0.8778076171875,-0.5052032470703125,0.0411529541015625
1772708544113865000,0.246864990234375,-0.85760498046875,-0.5136871337890625,0.0715179443359375
1772708544123890000,0.256889892578125,-0.8323211669921875,-0.5281829833984375,0.104522705078125
1772708544133916000,0.266916015625,-0.8101806640625,-0.5297698974609375,0.1126861572265625
1772708544143942000,0.27694189453125,-0.7895050048828125,-0.530853271484375,0.1176605224609375
1772708544153966800,0.286966796875,-0.769989013671875,-0.5418701171875,0.1297149658203125
1772708544163992800,0.296992919921875,-0.7700347900390625,-0.5591278076171875,0.1369171142578125
1772708544174018800,0.307018798828125,-0.7832183837890625,-0.5588226318359375,0.124114990234375
1772708544184043800,0.317043701171875,-0.798980712890625,-0.54632568359375,0.11700439453125
1772708544194069800,0.32706982421875,-0.8193206787109375,-0.5327911376953125,0.129669189453125
1772708544204095000,0.337094970703125,-0.8454132080078125,-0.514862060546875,0.1314544677734375
1772708544214121000,0.347120849609375,-0.885498046875,-0.49774169921875,0.11212158203125
1772708544224147000,0.35714697265625,-0.920166015625,-0.475738525390625,0.1041717529296875
1772708544234172000,0.367171875,-0.945404052734375,-0.4542999267578125,0.129669189453125
1772708544244198000,0.377197998046875,-0.970245361328125,-0.445281982421875,0.1490020751953125
1772708544254222800,0.387222900390625,-0.9771270751953125,-0.4460601806640625,0.1806793212890625
1772708544264248800,0.397248779296875,-0.977752685546875,-0.4395599365234375,0.1954803466796875
1772708544274274800,0.40727490234375,-0.959716796875,-0.4409942626953125,0.1772308349609375
1772708544284299800,0.4172998046875,-0.90142822265625,-0.4370880126953125,0.148651123046875
1772708544294325800,0.42732568359375,-0.8189544677734375,-0.4283294677734375,0.1240386962890625
1772708544304351700,0.437351806640625,-0.7697296142578125,-0.4315948486328125,0.1441192626953125
1772708544314376700,0.447376708984375,-0.7613372802734375,-0.4483795166015625,0.16339111328125
1772708544324402700,0.457402587890625,-0.779937744140625,-0.4739837646484375,0.158721923828125
1772708544334428000,0.467427978515625,-0.7875213623046875,-0.4795074462890625,0.1501007080078125
1772708544344454000,0.477453857421875,-0.7758941650390625,-0.4776153564453125,0.1517486572265625
1772708544354479900,0.48747998046875,-0.7506866455078125,-0.4515533447265625,0.139923095703125
1772708544364504800,0.4975048828125,-0.7334136962890625,-0.4149627685546875,0.1560211181640625
1772708544374530800,0.50753076171875,-0.76361083984375,-0.402435302734375,0.1974029541015625
1772708544384555800,0.5175556640625,-0.7960357666015625,-0.4151611328125,0.22076416015625
1772708544394581800,0.527581787109375,-0.754852294921875,-0.3651275634765625,0.158966064453125
1772708544404607700,0.537607666015625,-0.7695159912109375,-0.3625030517578125,0.1659393310546875
1772708544414632700,0.5476328125,-0.76605224609375,-0.374267578125,0.1977386474609375
1772708544424658700,0.55765869140625,-0.6871337890625,-0.33953857421875,0.1755523681640625
1772708544434684700,0.5676845703125,-0.5731201171875,-0.330108642578125,0.181060791015625
1772708544444710400,0.57771044921875,-0.5249481201171875,-0.3711395263671875,0.2547607421875
1772708544454736400,0.587736328125,-0.5343170166015625,-0.4156646728515625,0.3468017578125
1772708544464761600,0.59776171875,-0.51300048828125,-0.4253082275390625,0.3937835693359375
1772708544474787600,0.60778759765625,-0.473968505859375,-0.39434814453125,0.415679931640625
1772708544484813600,0.6178134765625,-0.458648681640625,-0.3606414794921875,0.4387359619140625
1772708544494838500,0.627838623046875,-0.46478271484375,-0.312896728515625,0.4535064697265625
1772708544504864500,0.637864501953125,-0.4579620361328125,-0.240386962890625,0.42840576171875
1772708544514889500,0.647889404296875,-0.5275421142578125,-0.097198486328125,0.3417510986328125
1772708544524915500,0.65791552734375,-0.547576904296875,-0.1448974609375,0.3468780517578125
1772708544534941400,0.66794140625,-0.59283447265625,-0.243133544921875,0.3596649169921875
1772708544544966400,0.67796630859375,-0.690093994140625,-0.2403717041015625,0.2848358154296875
1772708544554992400,0.687992431640625,-0.7161407470703125,-0.12200927734375,0.13287353515625
1772708544565018400,0.698018310546875,-0.8052215576171875,0.0064544677734375,0.0528717041015625
1772708544575043300,0.708043212890625,-0.8361053466796875,0.07769775390625,0.0264129638671875
1772708544585069300,0.7180693359375,-0.7942352294921875,0.093292236328125,0.0330352783203125
1772708544595094500,0.728094482421875,-0.698516845703125,0.07122802734375,0.0594329833984375
1772708544605120500,0.73812060546875,-0.5980377197265625,0.0470733642578125,0.0764617919921875
1772708544615146500,0.748146484375,-0.5331573486328125,0.0384979248046875,0.07623291015625
1772708544625171500,0.75817138671875,-0.5201416015625,0.02484130859375,0.0689239501953125
1772708544635197400,0.768197509765625,-0.6348419189453125,-0.019561767578125,0.074951171875
1772708544645222400,0.778222412109375,-0.8359832763671875,-0.0668792724609375,0.0525360107421875
1772708544655248400,0.788248291015625,-1.0926513671875,-0.0697174072265625,0.019134521484375
1772708544665274400,0.7982744140625,-1.3463897705078125,-0.01678466796875,0.014251708984375
1772708544675299300,0.80829931640625,-1.379364013671875,0.010009765625,0.069183349609375
1772708544685325300,0.8183251953125,-1.420196533203125,0.0150299072265625,0.1709442138671875
1772708544695350500,0.8283505859375,-1.3582763671875,-0.057098388671875,0.35711669921875
1772708544705376500,0.83837646484375,-1.2858734130859375,-0.22265625,0.479888916015625
1772708544715402200,0.84840234375,-1.207122802734375,-0.3943634033203125,0.5314178466796875
1772708544725427500,0.858427490234375,-1.1937713623046875,-0.4952545166015625,0.5243988037109375
1772708544735453400,0.868453369140625,-1.2693634033203125,-0.5820465087890625,0.55181884765625
1772708544745479400,0.8784794921875,-1.3871307373046875,-0.6953125,0.653564453125
1772708544755504400,0.88850439453125,-1.51702880859375,-0.7731475830078125,0.7491607666015625
1772708544765530400,0.8985302734375,-1.6656646728515625,-0.8125,0.77996826171875
1772708544775555300,0.908555419921875,-1.8949432373046875,-0.8845062255859375,0.71160888671875
1772708544785581300,0.918581298828125,-2.190093994140625,-0.991058349609375,0.579742431640625
1772708544895863300,1.02886328125,-1.8411712646484375,-0.6692352294921875,-0.16363525390625
1772708544905888300,1.03888818359375,-1.506744384765625,-0.71795654296875,-0.3016204833984375
1772708544915914200,1.048914306640625,-1.1431884765625,-0.750640869140625,-0.436553955078125
1772708544925940500,1.0589404296875,-0.80963134765625,-0.7550048828125,-0.530242919921875
1772708544935965200,1.068965087890625,-0.5401153564453125,-0.69879150390625,-0.5412445068359375
1772708544945991400,1.078991455078125,-0.30224609375,-0.58990478515625,-0.4801788330078125
1772708544956016400,1.089016357421875,-0.1423797607421875,-0.4170684814453125,-0.43109130859375
1772708544966042600,1.099042724609375,-0.0629119873046875,-0.2125396728515625,-0.3116455078125
1772708544976068600,1.109068603515625,-0.0417633056640625,-0.003387451171875,-0.1804656982421875
1772708544986093600,1.119093505859375,-0.0174102783203125,0.0684051513671875,-0.0299224853515625
1772708544996119600,1.12911962890625,0.058258056640625,0.003570556640625,0.1665191650390625
1772708545006144500,1.13914453125,0.125946044921875,-0.1036834716796875,0.3096160888671875
1772708545016170500,1.14917041015625,0.15380859375,-0.194976806640625,0.394195556640625
1772708545026196500,1.159196533203125,0.20709228515625,-0.2234649658203125,0.3870697021484375
1772708545036221400,1.169221435546875,0.2744903564453125,-0.1648406982421875,0.2774505615234375
1772708545046247400,1.179247314453125,0.2989501953125,-0.0526275634765625,0.1157684326171875
1772708545056272400,1.1892724609375,0.2736053466796875,0.05877685546875,0.0010986328125
1772708545066298400,1.19929833984375,0.218719482421875,0.1313323974609375,-0.055877685546875
1772708545076324400,1.209324462890625,0.1486663818359375,0.132232666015625,-0.0438079833984375
1772708545086349600,1.219349609375,0.066009521484375,0.0750579833984375,0.03173828125
1772708545096375600,1.22937548828125,0.0105743408203125,0.012298583984375,0.13671875
1772708545106400500,1.239400390625,-0.0309600830078125,-0.039947509765625,0.242095947265625
1772708545116426500,1.249426513671875,-0.2041168212890625,-0.116241455078125,0.354278564453125
1772708545126452500,1.259452392578125,-0.228057861328125,-0.160614013671875,0.3476409912109375
1772708545136477400,1.2694775390625,-0.196014404296875,-0.1635284423828125,0.3111114501953125
1772708545146503400,1.27950341796875,-0.1896209716796875,-0.1842498779296875,0.2565155029296875
1772708545156528400,1.2895283203125,-0.1500701904296875,-0.1788482666015625,0.155792236328125
1772708545166554400,1.299554443359375,-0.144927978515625,-0.169891357421875,0.070556640625
1772708545176580400,1.309580322265625,-0.166046142578125,-0.1704254150390625,-0.03436279296875
1772708545186605600,1.31960546875,-0.19256591796875,-0.166778564453125,-0.1538848876953125
