time,seconds_elapsed,z,y,x
1772728885597964500,0.100964599609375,10.356136322021484,2.871387243270874,-1.6007983684539795
1772728885607482600,0.110482666015625,9.963713645935059,2.7732813358306885,-1.4644074440002441
1772728885617000700,0.120000732421875,9.621540069580078,2.744567632675171,-1.3663017749786377
1772728885626518800,0.129518798828125,9.260223388671875,2.768495798110962,-1.3232308626174927
1772728885636036900,0.139036865234375,8.927620887756348,2.792423963546753,-1.3351950645446777
1772728885645555200,0.14855517578125,8.549555778503418,2.8354947566986084,-1.3519448041915894
1772728885655073000,0.158072998046875,8.188239097595215,2.9527430534362793,-1.4189438819885254
1772728885664591000,0.167591064453125,7.89631462097168,3.074777126312256,-1.5290136337280273
1772728885674109400,0.177109375,7.597211837768555,3.136990547180176,-1.588834285736084
1772728885683627500,0.18662744140625,7.3675007820129395,3.2446675300598145,-1.710868239402771
1772728885693145600,0.1961455078125,7.255038261413574,3.383451223373413,-1.7778671979904175
1772728885702663700,0.20566357421875,7.29093074798584,3.524627685546875,-1.8711873292922974
1772728885712181800,0.215181640625,7.372286796569824,3.5509488582611084,-1.9812572002410889
1772728885721699800,0.224699951171875,7.566105365753174,3.589233875274658,-2.0554347038269043
1772728885731218000,0.234218017578125,7.8317084312438965,3.570091485977173,-2.1104695796966553
1772728885740736000,0.243736083984375,8.214560508728027,3.5294134616851807,-2.1128623485565186
1772728885750254000,0.253254150390625,8.745766639709473,3.4791641235351562,-2.115255117416382
1772728885759772200,0.262772216796875,9.346364974975586,3.4337005615234375,-2.0961127281188965
1772728885769290200,0.272290283203125,9.899106979370117,3.3379876613616943,-2.053041934967041
1772728885778808300,0.281808349609375,10.313065528869629,3.2757742404937744,-1.9716858863830566
1772728885788326700,0.29132666015625,10.50209903717041,3.249453067779541,-1.8472590446472168
1772728885797844500,0.300844482421875,10.480563163757324,3.211168050765991,-1.6845471858978271
1772728885807362600,0.310362548828125,10.262816429138184,3.19441819190979,-1.490728497505188
1772728885816881000,0.319880859375,9.844072341918945,3.2518460750579834,-1.301695466041565
1772728885826398700,0.329398681640625,9.365508079528809,3.3571300506591797,-1.179661512374878
1772728885835917000,0.3389169921875,8.824729919433594,3.4743785858154297,-1.0671988725662231
1772728885845435100,0.34843505859375,8.37966537475586,3.603590965270996,-0.9619147181510925
1772728885854953200,0.357953125,7.960920810699463,3.7016966342926025,-0.9020941257476807
1772728885864471300,0.36747119140625,7.719245910644531,3.7806596755981445,-0.9044869542121887
1772728885873989400,0.3769892578125,7.523034572601318,3.8763725757598877,-0.8709874153137207
1772728885883507500,0.386507568359375,7.343572616577148,3.8739798069000244,-0.7920243144035339
1772728885893025500,0.396025634765625,7.262216567993164,3.9122650623321533,-0.7680960893630981
1772728885902543600,0.405543701171875,7.2095746994018555,3.950550079345703,-0.794417142868042
1772728885912061700,0.415061767578125,7.307680130004883,4.012763500213623,-0.8159525394439697
1772728885921579800,0.424579833984375,7.51585578918457,4.086941242218018,-0.8973084688186646
1772728885931097900,0.434097900390625,7.724031448364258,4.110869407653809,-0.885344386100769
1772728885940616000,0.443615966796875,7.908278942108154,4.156332969665527,-0.8614161610603333
1772728885950134300,0.45313427734375,8.09970474243164,4.158725738525391,-0.8566305041313171
1772728885959652000,0.462652099609375,8.24566650390625,4.1491546630859375,-0.8781659007072449
1772728885969170200,0.472170166015625,8.413164138793945,4.151547431945801,-0.9308080077171326
1772728885978688500,0.4816884765625,8.585447311401367,4.139583110809326,-0.9188438653945923
1772728885988206600,0.49120654296875,8.709874153137207,4.175475597381592,-0.8733802437782288
1772728885997724700,0.500724609375,8.745766639709473,4.161118507385254,-0.8446664214134216
1772728886007242800,0.51024267578125,8.788837432861328,4.182653903961182,-0.8614161610603333
1772728886016760800,0.5197607421875,8.877371788024902,4.278367042541504,-0.8805587291717529
