time,seconds_elapsed,z,y,x
1772709060969734700,0.052734619140625,-1.0515899658203125,-0.2413787841796875,0.348052978515625
1772709060979759600,0.062759521484375,-1.0352935791015625,-0.2657318115234375,0.3654327392578125
1772709060989785600,0.07278564453125,-1.007904052734375,-0.2781829833984375,0.3560638427734375
1772709060999810800,0.082810791015625,-0.9809417724609375,-0.2920684814453125,0.318756103515625
1772709061009835500,0.09283544921875,-0.945098876953125,-0.3155670166015625,0.29388427734375
1772709061019860500,0.102860595703125,-0.891357421875,-0.3350372314453125,0.2688140869140625
1772709061029885400,0.112885498046875,-0.83282470703125,-0.331695556640625,0.2280120849609375
1772709061039910700,0.12291064453125,-0.8032684326171875,-0.30413818359375,0.194183349609375
1772709061049935600,0.132935546875,-0.796417236328125,-0.3113861083984375,0.1590728759765625
1772709061059961600,0.142961669921875,-0.794158935546875,-0.342254638671875,0.129425048828125
1772709061069986600,0.152986572265625,-0.755889892578125,-0.342559814453125,0.1059112548828125
1772709061080011500,0.163011474609375,-0.67999267578125,-0.3109130859375,0.1089019775390625
1772709061090036700,0.17303662109375,-0.6123046875,-0.266265869140625,0.125091552734375
1772709061100061700,0.183061767578125,-0.566864013671875,-0.2398834228515625,0.152557373046875
1772709061110086700,0.193086669921875,-0.539093017578125,-0.240386962890625,0.1786041259765625
1772709061120111400,0.203111328125,-0.5440521240234375,-0.27764892578125,0.2022247314453125
1772709061130137600,0.2131376953125,-0.5794677734375,-0.3301544189453125,0.21063232421875
1772709061140162600,0.22316259765625,-0.6255035400390625,-0.3715057373046875,0.2196807861328125
1772709061150187500,0.2331875,-0.69757080078125,-0.39801025390625,0.250946044921875
1772709061160212500,0.24321240234375,-0.800140380859375,-0.424652099609375,0.3174591064453125
1772709061170237400,0.253237548828125,-0.9638519287109375,-0.4803314208984375,0.39324951171875
1772709061180262700,0.2632626953125,-1.1071014404296875,-0.546661376953125,0.42962646484375
1772709061190287600,0.27328759765625,-1.168548583984375,-0.566741943359375,0.39959716796875
1772709061200312600,0.2833125,-1.215545654296875,-0.5690155029296875,0.3327789306640625
1772709061210338600,0.293338623046875,-1.169891357421875,-0.566009521484375,0.26116943359375
1772709061220363500,0.303363525390625,-1.1320343017578125,-0.5403900146484375,0.4094085693359375
1772709061230388700,0.313388671875,-1.190338134765625,-0.65155029296875,0.592529296875
1772709061240413700,0.32341357421875,-1.24560546875,-0.7617034912109375,0.729461669921875
1772709061250438700,0.333438720703125,-1.2478790283203125,-0.807373046875,0.7546844482421875
1772709061260463400,0.34346337890625,-1.1666717529296875,-0.724365234375,0.671600341796875
1772709061270488600,0.353488525390625,-1.1466522216796875,-0.6676025390625,0.579437255859375
1772709061280514600,0.3635146484375,-1.270355224609375,-0.7943572998046875,0.54150390625
1772709061290539500,0.37353955078125,-1.3701324462890625,-0.8551788330078125,0.5257720947265625
1772709061300564500,0.383564453125,-1.5506744384765625,-0.8805389404296875,0.60577392578125
1772709061310589400,0.39358935546875,-1.7951202392578125,-0.970672607421875,0.74462890625
1772709061320614700,0.40361474609375,-1.904327392578125,-0.9819793701171875,0.59173583984375
1772709061330639600,0.4136396484375,-1.802947998046875,-0.9467010498046875,0.3032684326171875
1772709061340664600,0.42366455078125,-1.6168060302734375,-1.01104736328125,0.207183837890625
1772709061350690600,0.433690673828125,-1.452484130859375,-0.9799041748046875,0.05816650390625
1772709061360715500,0.443715576171875,-1.3128509521484375,-0.896270751953125,-0.0489654541015625
1772709061370740700,0.45374072265625,-1.23785400390625,-0.73162841796875,0.04437255859375
